file,onset_s,offset_s,label,freq_min,freq_max,filepath
AMAR021.20240503T064250Z.wav,12.491,26.566,G01,7743.8,17001.8,E:\F5\F5_20240503\AMAR021.20240503T064250Z.wav
AMAR021.20240503T065250Z.wav,337.106,1097.061,G01,3741.5,19479.8,E:\F5\F5_20240503\AMAR021.20240503T065250Z.wav
AMAR021.20240503T074250Z.wav,31.029,1787.446,G01,5308.5,22924.4,E:\F5\F5_20240503\AMAR021.20240503T074250Z.wav
AMAR021.20240503T084250Z.wav,104.374,1794.207,G01,6117.1,23280.7,E:\F5\F5_20240503\AMAR021.20240503T084250Z.wav
AMAR021.20240503T094250Z.wav,454.407,1695.732,G01,7084.3,16545.9,E:\F5\F5_20240503\AMAR021.20240503T094250Z.wav
AMAR021.20240503T104250Z.wav,28.673,1200.383,G01,5879.6,17935.6,E:\F5\F5_20240503\AMAR021.20240503T104250Z.wav
AMAR021.20240503T114250Z.wav,55.408,1771.858,G01,5048.1,19479.8,E:\F5\F5_20240503\AMAR021.20240503T114250Z.wav
AMAR021.20240503T124250Z.wav,91.049,1586.257,G01,6651.6,18588.9,E:\F5\F5_20240503\AMAR021.20240503T124250Z.wav
AMAR021.20240503T134250Z.wav,156.743,391.217,G01,7483.1,14194.1,E:\F5\F5_20240503\AMAR021.20240503T134250Z.wav
AMAR021.20240503T140250Z.wav,571.942,574.934,G01,5642.0,9680.5,E:\F5\F5_20240503\AMAR021.20240503T140250Z.wav
AMAR021.20240503T235250Z.wav,300.369,301.706,G01,12083.9,17583.9,E:\F5\F5_20240503\AMAR021.20240503T235250Z.wav
AMAR021.20240503T235250Z.wav,374.478,375.165,G01,12292.8,16698.6,E:\F5\F5_20240503\AMAR021.20240503T235250Z.wav
AMAR1270.20241107T034723Z.wav,0.816,1.323,G01,8460.8,14185.3,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
AMAR1270.20241107T034723Z.wav,3.768,4.174,G01,9502.7,13738.8,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
AMAR1270.20241107T034723Z.wav,7.521,8.432,G01,7670.8,13624.3,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
AMAR1270.20241107T034723Z.wav,29.938,31.33,G01,6869.4,14883.7,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
AMAR1270.20241107T034723Z.wav,35.809,37.139,G01,6182.5,14540.2,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
AMAR1270.20241107T034723Z.wav,45.688,46.565,G01,8815.7,14998.2,E:\F5\F5a_20241107\AMAR1270.20241107T034723Z.wav
