sequence_path,sequence_idx,split,segment_idx,label,snippet_path,start_frame,end_frame,duration_frames,start_s,end_s,duration_s,truncated
data\results\sequences\train\sequence_0.npy,0,train,0,Nothing,data\results\fragments_combined\Nothing\AMAR887.20241018T001437Z_idx11553.npy,0,266,266,0.0,26.6,26.6,False
data\results\sequences\train\sequence_0.npy,0,train,1,G01,data\results\fragments_combined\G01\AMAR170.20240903T022714Z_idx6502.npy,266,328,62,26.6,32.8,6.2,False
data\results\sequences\train\sequence_0.npy,0,train,2,G01,data\results\fragments_combined\G01\AMAR1270.20250118T045723Z_idx780.npy,328,375,47,32.8,37.5,4.7,False
data\results\sequences\train\sequence_0.npy,0,train,3,Nothing,data\results\fragments_combined\Nothing\AMAR1272.20250118T025450Z_idx10023.npy,375,802,427,37.5,80.2,42.7,False
data\results\sequences\train\sequence_0.npy,0,train,4,Nothing,data\results\fragments_combined\Nothing\AMAR887.20241003T061437Z_idx11512.npy,802,1097,295,80.2,109.7,29.5,False
data\results\sequences\train\sequence_0.npy,0,train,5,G01,data\results\fragments_combined\G01\AMAR170.20240419T020445Z_idx3019.npy,1097,1250,153,109.7,125.0,15.3,False
data\results\sequences\train\sequence_0.npy,0,train,6,G01,data\results\fragments_combined\G01\AMAR170.20240718T053714Z_idx4952.npy,1250,1254,4,125.0,125.4,0.4,False
data\results\sequences\train\sequence_0.npy,0,train,7,G01,data\results\fragments_combined\G01\AMAR887.20240903T101437Z_idx9176.npy,1254,1602,348,125.4,160.2,34.8,False
data\results\sequences\train\sequence_0.npy,0,train,8,G01,data\results\fragments_combined\G01\AMAR1270.20250103T040723Z_idx616.npy,1602,1623,21,160.2,162.3,2.1,False
data\results\sequences\train\sequence_0.npy,0,train,9,Nothing,data\results\fragments_combined\Nothing\AMAR170.20240518T074445Z_idx10509.npy,1623,2006,383,162.3,200.6,38.3,False
data\results\sequences\train\sequence_0.npy,0,train,10,G01,data\results\fragments_combined\G01\AMAR170.20240818T004714Z_idx6209.npy,2006,2014,8,200.6,201.4,0.8,False
data\results\sequences\train\sequence_0.npy,0,train,11,G01,data\results\fragments_combined\G01\AMAR170.20240419T210445Z_idx4261.npy,2014,2021,7,201.4,202.1,0.7,False
data\results\sequences\train\sequence_0.npy,0,train,12,Nothing,data\results\fragments_combined\Nothing\AMAR1270.20250103T004723Z_idx9545.npy,2021,2682,661,202.1,268.2,66.1,False
data\results\sequences\train\sequence_0.npy,0,train,13,G01,data\results\fragments_combined\G01\AMAR1270.20241107T054723Z_idx220.npy,2682,2700,18,268.2,270.0,1.8,False
data\results\sequences\train\sequence_0.npy,0,train,14,G01,data\results\fragments_combined\G01\AMAR170.20240803T092714Z_idx5217.npy,2700,2732,32,270.0,273.2,3.2,False
data\results\sequences\train\sequence_0.npy,0,train,15,Nothing,data\results\fragments_combined\Nothing\AMAR887.20241003T072437Z_idx11521.npy,2732,2982,250,273.2,298.2,25.0,False
data\results\sequences\train\sequence_0.npy,0,train,16,G01,data\results\fragments_combined\G01\AMAR887.20241003T221437Z_idx9351.npy,2982,2993,11,298.2,299.3,1.1,False
