sequence_path,sequence_idx,split,segment_idx,label,snippet_path,start_frame,end_frame,duration_frames,start_s,end_s,duration_s,truncated
data\results\sequences_low_freq\train\sequence_0.npy,0,train,0,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2233_idx224.npy,0,55,55,0.0,5.5,5.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,1,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx208.npy,55,496,441,5.5,49.6,44.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,2,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0091_idx147.npy,496,508,12,49.6,50.8,1.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,3,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0763_idx180.npy,508,516,8,50.8,51.6,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,4,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2228_idx203.npy,516,529,13,51.6,52.9,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,5,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1525_idx199.npy,529,669,140,52.9,66.9,14.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,6,G01,data\results\fragments_combined\fragments_32khz\G01\279C0760_idx72.npy,669,673,4,66.9,67.3,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,7,G01,data\results\fragments_combined\fragments_32khz\G01\26D02000_idx25.npy,673,677,4,67.3,67.7,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,8,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0763_idx179.npy,677,690,13,67.7,69.0,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,9,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx98.npy,690,722,32,69.0,72.2,3.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,10,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0096_idx159.npy,722,730,8,72.2,73.0,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,11,G01,data\results\fragments_combined\fragments_32khz\G01\279C2223_idx92.npy,730,737,7,73.0,73.7,0.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,12,G01,data\results\fragments_combined\fragments_32khz\G01\279C0770_idx75.npy,737,754,17,73.7,75.4,1.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,13,G01,data\results\fragments_combined\fragments_32khz\G01\279C1870_idx83.npy,754,857,103,75.4,85.7,10.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,14,G01,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx54.npy,857,863,6,85.7,86.3,0.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,15,G01,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx12.npy,863,874,11,86.3,87.4,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,16,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0096_idx161.npy,874,878,4,87.4,87.8,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,17,G01,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx87.npy,878,889,11,87.8,88.9,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,18,G01,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx39.npy,889,978,89,88.9,97.8,8.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,19,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2233_idx223.npy,978,1317,339,97.8,131.7,33.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,20,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1525_idx197.npy,1317,1343,26,131.7,134.3,2.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,21,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2978_idx241.npy,1343,1366,23,134.3,136.6,2.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,22,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0777_idx183.npy,1366,1380,14,136.6,138.0,1.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,23,G01,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx51.npy,1380,1384,4,138.0,138.4,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,24,G01,data\results\fragments_combined\fragments_32khz\G01\279C1871_idx88.npy,1384,1852,468,138.4,185.2,46.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,25,G01,data\results\fragments_combined\fragments_32khz\G01\279C0461_idx71.npy,1852,1897,45,185.2,189.7,4.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,26,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0092_idx155.npy,1897,1907,10,189.7,190.7,1.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,27,G01,data\results\fragments_combined\fragments_32khz\G01\279C0252_idx29.npy,1907,1958,51,190.7,195.8,5.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,28,G01,data\results\fragments_combined\fragments_32khz\G01\26D02019_idx26.npy,1958,1998,40,195.8,199.8,4.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,29,G01,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx116.npy,1998,2054,56,199.8,205.4,5.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,30,G01,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx52.npy,2054,2067,13,205.4,206.7,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,31,G01,data\results\fragments_combined\fragments_32khz\G01\279C0246_idx28.npy,2067,2484,417,206.7,248.4,41.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,32,G01,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx20.npy,2484,2488,4,248.4,248.8,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,33,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx99.npy,2488,2499,11,248.8,249.9,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,34,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx168.npy,2499,2628,129,249.9,262.8,12.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,35,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx169.npy,2628,2818,190,262.8,281.8,19.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,36,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx206.npy,2818,2909,91,281.8,290.9,9.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,37,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2975_idx238.npy,2909,3357,448,290.9,335.7,44.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,38,G01,data\results\fragments_combined\fragments_32khz\G01\279C0450_idx67.npy,3357,3691,334,335.7,369.1,33.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,39,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1526_idx201.npy,3691,4065,374,369.1,406.5,37.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,40,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0091_idx150.npy,4065,4071,6,406.5,407.1,0.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,41,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx100.npy,4071,4212,141,407.1,421.2,14.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,42,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx214.npy,4212,4349,137,421.2,434.9,13.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,43,G01,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx3.npy,4349,4370,21,434.9,437.0,2.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,44,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0088_idx144.npy,4370,4381,11,437.0,438.1,1.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,45,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2971_idx233.npy,4381,4406,25,438.1,440.6,2.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,46,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx217.npy,4406,4413,7,440.6,441.3,0.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,47,G01,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx112.npy,4413,4435,22,441.3,443.5,2.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,48,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0092_idx154.npy,4435,4537,102,443.5,453.7,10.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,49,G01,data\results\fragments_combined\fragments_32khz\G01\279C0440_idx46.npy,4537,4617,80,453.7,461.7,8.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,50,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2232_idx219.npy,4617,4634,17,461.7,463.4,1.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,51,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx130.npy,4634,4647,13,463.4,464.7,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,52,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0100_idx165.npy,4647,4680,33,464.7,468.0,3.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,53,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx103.npy,4680,5013,333,468.0,501.3,33.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,54,G01,data\results\fragments_combined\fragments_32khz\G01\279C0446_idx65.npy,5013,5021,8,501.3,502.1,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,55,G01,data\results\fragments_combined\fragments_32khz\G01\279C2624_idx124.npy,5021,5277,256,502.1,527.7,25.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,56,G01,data\results\fragments_combined\fragments_32khz\G01\279C0439_idx37.npy,5277,5358,81,527.7,535.8,8.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,57,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2231_idx207.npy,5358,5480,122,535.8,548.0,12.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,58,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx138.npy,5480,5493,13,548.0,549.3,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,59,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx101.npy,5493,5501,8,549.3,550.1,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,60,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2978_idx242.npy,5501,5877,376,550.1,587.7,37.6,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,61,G01,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx18.npy,5877,5882,5,587.7,588.2,0.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,62,G01,data\results\fragments_combined\fragments_32khz\G01\279C2981_idx143.npy,5882,5911,29,588.2,591.1,2.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,63,G01,data\results\fragments_combined\fragments_32khz\G01\279C2228_idx114.npy,5911,5921,10,591.1,592.1,1.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,64,G01,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx8.npy,5921,5925,4,592.1,592.5,0.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,65,G01,data\results\fragments_combined\fragments_32khz\G01\279C0443_idx48.npy,5925,5933,8,592.5,593.3,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,66,G01,data\results\fragments_combined\fragments_32khz\G01\279C2230_idx120.npy,5933,6090,157,593.3,609.0,15.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,67,G01,data\results\fragments_combined\fragments_32khz\G01\26D00573_idx5.npy,6090,6122,32,609.0,612.2,3.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,68,G01,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx55.npy,6122,6129,7,612.2,612.9,0.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,69,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx133.npy,6129,6142,13,612.9,614.2,1.3,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,70,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx171.npy,6142,6154,12,614.2,615.4,1.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,71,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2977_idx240.npy,6154,6175,21,615.4,617.5,2.1,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,72,G01,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx13.npy,6175,6197,22,617.5,619.7,2.2,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,73,G01,data\results\fragments_combined\fragments_32khz\G01\B92C2979_idx245.npy,6197,6271,74,619.7,627.1,7.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,74,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0105_idx173.npy,6271,6311,40,627.1,631.1,4.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,75,G01,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx0.npy,6311,6355,44,631.1,635.5,4.4,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,76,G01,data\results\fragments_combined\fragments_32khz\G01\B92C1149_idx192.npy,6355,6365,10,635.5,636.5,1.0,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,77,G01,data\results\fragments_combined\fragments_32khz\G01\B92C0763_idx177.npy,6365,6600,235,636.5,660.0,23.5,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,78,G01,data\results\fragments_combined\fragments_32khz\G01\279C2227_idx96.npy,6600,6669,69,660.0,666.9,6.9,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,79,G01,data\results\fragments_combined\fragments_32khz\G01\279C0768_idx74.npy,6669,6677,8,666.9,667.7,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,80,G01,data\results\fragments_combined\fragments_32khz\G01\279C2978_idx135.npy,6677,6685,8,667.7,668.5,0.8,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,81,G01,data\results\fragments_combined\fragments_32khz\G01\279C0444_idx50.npy,6685,6692,7,668.5,669.2,0.7,False
data\results\sequences_low_freq\train\sequence_0.npy,0,train,82,G01,data\results\fragments_combined\fragments_32khz\G01\279C0461_idx70.npy,6692,6955,263,669.2,695.5,26.3,False
