index,snippet_path,label,source_filepath,onset_s,offset_s,duration_s,n_frames,_manifest_dir,split
0,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx0.npy,G01,G:\F3\AuralF3_20240419\26D00033.WAV,1505.989,1510.366,4.376999999999953,44,data\results\fragments_combined\fragments_32khz,train
1,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx1.npy,G01,G:\F3\AuralF3_20240419\26D00033.WAV,2009.754,2010.839,1.0850000000000364,11,data\results\fragments_combined\fragments_32khz,val
2,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx2.npy,G01,G:\F3\AuralF3_20240419\26D00033.WAV,2025.597,2026.465,0.8679999999999382,9,data\results\fragments_combined\fragments_32khz,train
3,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx3.npy,G01,G:\F3\AuralF3_20240419\26D00033.WAV,2055.014,2057.091,2.076999999999771,21,data\results\fragments_combined\fragments_32khz,train
4,data\results\fragments_combined\fragments_32khz\G01\26D00033_idx4.npy,G01,G:\F3\AuralF3_20240419\26D00033.WAV,2380.334,2383.541,3.2070000000003347,33,data\results\fragments_combined\fragments_32khz,train
5,data\results\fragments_combined\fragments_32khz\G01\26D00573_idx5.npy,G01,G:\F3\AuralF3_20240603\26D00573.WAV,22.63,25.751,3.121000000000002,32,data\results\fragments_combined\fragments_32khz,train
6,data\results\fragments_combined\fragments_32khz\G01\26D01286_idx6.npy,G01,G:\F3\F3a_20250103\26D01286.WAV,325.617,327.096,1.478999999999985,15,data\results\fragments_combined\fragments_32khz,test
7,data\results\fragments_combined\fragments_32khz\G01\26D01286_idx7.npy,G01,G:\F3\F3a_20250103\26D01286.WAV,1629.66,1630.911,1.2509999999999764,13,data\results\fragments_combined\fragments_32khz,train
8,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx8.npy,G01,G:\F3\F3a_20250403\26D01636.WAV,480.768,481.124,0.3560000000000514,4,data\results\fragments_combined\fragments_32khz,train
9,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx9.npy,G01,G:\F3\F3a_20250403\26D01636.WAV,709.07,709.463,0.3929999999999154,4,data\results\fragments_combined\fragments_32khz,train
10,data\results\fragments_combined\fragments_32khz\G01\26D01636_idx10.npy,G01,G:\F3\F3a_20250403\26D01636.WAV,1630.871,1631.197,0.3259999999997944,4,data\results\fragments_combined\fragments_32khz,train
11,data\results\fragments_combined\fragments_32khz\G01\26D01640_idx11.npy,G01,G:\F3\F3a_20250118\26D01640.WAV,1696.547,1697.327,0.7799999999999727,8,data\results\fragments_combined\fragments_32khz,val
12,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx12.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,397.193,398.291,1.0980000000000132,11,data\results\fragments_combined\fragments_32khz,train
13,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx13.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,413.378,415.517,2.13900000000001,22,data\results\fragments_combined\fragments_32khz,train
14,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx14.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,429.8,431.274,1.4739999999999895,15,data\results\fragments_combined\fragments_32khz,test
15,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx15.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,439.338,445.002,5.663999999999987,57,data\results\fragments_combined\fragments_32khz,val
16,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx16.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,456.222,466.309,10.087000000000046,101,data\results\fragments_combined\fragments_32khz,val
17,data\results\fragments_combined\fragments_32khz\G01\26D01643_idx17.npy,G01,G:\F3\F3a_20250118\26D01643.WAV,884.696,886.343,1.6469999999999343,17,data\results\fragments_combined\fragments_32khz,val
18,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx18.npy,G01,G:\F3\F3a_20250118\26D01646.WAV,1662.527,1662.928,0.4010000000000673,5,data\results\fragments_combined\fragments_32khz,train
19,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx19.npy,G01,G:\F3\F3a_20250118\26D01646.WAV,1668.612,1668.997,0.3849999999999909,4,data\results\fragments_combined\fragments_32khz,test
20,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx20.npy,G01,G:\F3\F3a_20250118\26D01646.WAV,1674.533,1674.884,0.3510000000001128,4,data\results\fragments_combined\fragments_32khz,train
21,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx21.npy,G01,G:\F3\F3a_20250118\26D01646.WAV,1675.825,1676.616,0.79099999999994,8,data\results\fragments_combined\fragments_32khz,train
22,data\results\fragments_combined\fragments_32khz\G01\26D01646_idx22.npy,G01,G:\F3\F3a_20250118\26D01646.WAV,1682.097,1682.514,0.4169999999999163,5,data\results\fragments_combined\fragments_32khz,test
23,data\results\fragments_combined\fragments_32khz\G01\26D01649_idx23.npy,G01,G:\F3\F3a_20250118\26D01649.WAV,967.511,968.012,0.5009999999999764,6,data\results\fragments_combined\fragments_32khz,val
24,data\results\fragments_combined\fragments_32khz\G01\26D01659_idx24.npy,G01,G:\F3\AuralF3_20240901\26D01659.WAV,1090.435,1093.666,3.2309999999999945,33,data\results\fragments_combined\fragments_32khz,train
25,data\results\fragments_combined\fragments_32khz\G01\26D02000_idx25.npy,G01,G:\F3\F3a_20250418\26D02000.WAV,96.148,96.463,0.3149999999999977,4,data\results\fragments_combined\fragments_32khz,train
26,data\results\fragments_combined\fragments_32khz\G01\26D02019_idx26.npy,G01,G:\F3\F3a_20250418\26D02019.WAV,1678.636,1682.597,3.9610000000000127,40,data\results\fragments_combined\fragments_32khz,train
27,data\results\fragments_combined\fragments_32khz\G01\279C0115_idx27.npy,G01,G:\F1\F1_20240421\279C0115.WAV,358.664,392.662,33.99799999999999,340,data\results\fragments_combined\fragments_32khz,train
28,data\results\fragments_combined\fragments_32khz\G01\279C0246_idx28.npy,G01,G:\F2\F2a_20250203\279C0246.WAV,706.52,748.204,41.68399999999997,417,data\results\fragments_combined\fragments_32khz,train
29,data\results\fragments_combined\fragments_32khz\G01\279C0252_idx29.npy,G01,G:\F2\F2a_20250203\279C0252.WAV,835.622,840.666,5.044000000000096,51,data\results\fragments_combined\fragments_32khz,train
30,data\results\fragments_combined\fragments_32khz\G01\279C0263_idx30.npy,G01,G:\F2\F2a_20250203\279C0263.WAV,1107.017,1113.0,5.982999999999947,60,data\results\fragments_combined\fragments_32khz,val
31,data\results\fragments_combined\fragments_32khz\G01\279C0263_idx31.npy,G01,G:\F2\F2a_20250203\279C0263.WAV,1277.109,1283.033,5.923999999999978,60,data\results\fragments_combined\fragments_32khz,val
32,data\results\fragments_combined\fragments_32khz\G01\279C0265_idx32.npy,G01,G:\F2\F2a_20250203\279C0265.WAV,636.827,640.208,3.380999999999972,34,data\results\fragments_combined\fragments_32khz,train
33,data\results\fragments_combined\fragments_32khz\G01\279C0265_idx33.npy,G01,G:\F2\F2a_20250203\279C0265.WAV,936.884,939.254,2.3700000000000045,24,data\results\fragments_combined\fragments_32khz,train
34,data\results\fragments_combined\fragments_32khz\G01\279C0265_idx34.npy,G01,G:\F2\F2a_20250203\279C0265.WAV,1588.114,1641.176,53.0619999999999,531,data\results\fragments_combined\fragments_32khz,val
35,data\results\fragments_combined\fragments_32khz\G01\279C0268_idx35.npy,G01,G:\F2\F2a_20250203\279C0268.WAV,105.178,105.872,0.6940000000000026,7,data\results\fragments_combined\fragments_32khz,val
